slug,brand,model,displayName,reference,referenceStatus,year,condition,material,character,shortDescription,curiosityQuote,history,status,price,imageCount,sourceUrls,verificationNote
chopard-monaco-historic-grand-prix,Chopard,Grand Prix de Monaco Historique Chronograph,Chopard Grand Prix de Monaco Historique Chronograph,168570-3001 / wariant do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci; referencja wymaga potwierdzenia po deklu,"ok. 2010-2015, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna lub tytan/stal, pasek sk?rzany lub tekstylny",sportowy chronograf motorsport,"Chopard Grand Prix de Monaco Historique Chronograph to zegarek z motoryzacyjnym temperamentem, podkre?lony kontrastow? tarcz? i pomara?czowymi akcentami.","To Chopard dla os?b, kt?re wol? zapach padoku od ciszy gabloty, ale nadal oczekuj? szwajcarskiego wyko?czenia.","Chopard jest wieloletnim partnerem wy?cig?w Grand Prix de Monaco Historique, a kolekcja powsta?a jako ho?d dla klasycznego motorsportu. Chronografy z tej serii korzystaj? z czytelnego uk?adu licznik?w, skali tachymetrycznej i dynamicznych kolor?w, dzi?ki czemu maj? bardziej sportowy charakter ni? bi?uteryjne linie Happy Sport czy Imperiale.",dost?pny,cena na zapytanie,3,https://www.chopard.com/ | https://www.chrono24.com/chopard/ref-1685703001.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
chopard-full-diamenty,Chopard,Happy Sport Chronograph,Chopard Happy Sport Chronograph Diamond,288499 - wariant oprawy diamentowej do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; zakres fabrycznej/opcjonalnej oprawy diamentowej wymaga weryfikacji,oko?o 2012+ lub rocznik z dokument?w,"dobry / bardzo dobry, ocena wst?pna ze zdj??","stal, diamenty, czarny pasek sk?rzany",sportowa bi?uteria z ruchomymi diamentami,Chopard Happy Sport Chronograph 288499 ??czy sportowy chronograf z ruchomymi diamentami i mocn? opraw? kamieni.,"Ruchome diamenty Happy Sport sprawiaj?, ?e tarcza nigdy nie wygl?da dok?adnie tak samo dwa razy.","Happy Sport to jedna z najbardziej rozpoznawalnych koncepcji Chopard: diamenty poruszaj? si? swobodnie pomi?dzy szafirowymi taflami nad tarcz?. W wersji chronograf 42 mm model nabiera bardziej sportowego charakteru, a rozbudowana oprawa diamentowa przenosi go w obszar wysokiej bi?uterii.",dost?pny,cena na zapytanie,4,https://www.chrono24.com/chopard/chopard-happy-sport-chronograph--id38713888.htm | https://www.authenticwatches.com/chopard-happy-sport-288499-3001.html,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
chopard-zielony,Chopard,Imperiale Chronograph Jewellery,Chopard Imperiale Chronograph Jewellery,Imperiale Chronograph - dok?adna referencja do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; ref. wymaga dekla/dokument?w,"lata 2000-2010., do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","bia?y metal szlachetny lub stal, diamenty, masa per?owa, zielona sk?ra",jubilerski chronograf damski,Chopard Imperiale Chronograph z zielonym paskiem i diamentow? opraw? ??czy cesarskie inspiracje kolekcji z funkcjonalno?ci? stopera.,Imperiale korzysta z detali kojarzonych z insygniami w?adzy - od kolumnowych uszu po kaboszony na koronce i przyciskach.,"Imperiale jest najbardziej ceremonialn? z codziennych linii Chopard: geometryczne uszy, kaboszony i rzymskie akcenty odnosz? si? do estetyki dawnych insygni?w. W chronografie z opraw? diamentow? i per?ow? tarcz? sportowa funkcja staje si? cz??ci? bi?uteryjnej kompozycji.",dost?pny,cena na zapytanie,3,https://www.chrono24.com/chopard/imperiale-chronograph---white-gold---mother-of-pearl-dial-diamonds-bezel---4143--id41253786.htm | https://www.essential-watches.com/Chopard/Imperiale-Round,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
chopard-tourbillon,Chopard,L.U.C Tourbillon 8 Jours,Chopard L.U.C Tourbillon 8 Jours,16/8502 lub 16/8963 - do potwierdzenia,rozpoznanie funkcji i rodziny wysokiej pewno?ci; dok?adna referencja wymaga dokument?w lub czytelnego dekla,"oko?o 2004-2006, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","bia?y metal szlachetny lub stal, pasek aligatorowy",haute horlogerie z tourbillonem i 8-dniow? rezerw?,Chopard L.U.C Tourbillon 8 Jours to zegarek wysokiej komplikacji z rezerw? chodu na osiem dni i widocznym tourbillonem na godzinie 6.,Osiem dni rezerwy chodu i tourbillon w jednym zegarku pokazuj? ambicj? Chopard Manufacture z pocz?tk?w linii L.U.C.,"Kolekcja L.U.C powsta?a jako manufakturowa odpowied? Chopard na wielk? tradycj? zegarmistrzowsk?. Tourbillony L.U.C wykorzystywa?y wielob?bnow? architektur? Quattro, daj?c? bardzo d?ug? rezerw? chodu, a otwarcie tarczy przy godzinie 6 eksponowa?o jedn? z najbardziej presti?owych komplikacji mechanicznych.",dost?pny,cena na zapytanie,3,https://www.collectorsquare.com/en/watches/chopard/l.u.c-tourbillon/lpi | https://objects-prod.cdn.chopard.com/PDFs/manuals-customer-service/Instruction_manual_LUC_Complications_2023.pdf,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
chronoswiss,Chronoswiss,R?gulateur,Chronoswiss R?gulateur,CH 1223,rozpoznanie wysokiej pewno?ci na podstawie uk?adu regulatora i napisu na tarczy,"oko?o 1995-2005, dok?adny rocznik do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, bransoleta stalowa",klasyczny regulator mechaniczny,"Chronoswiss R?gulateur CH 1223 z czarn? tarcz? prezentuje czas w historycznym uk?adzie regulatora z osobn? godzin?, minut? i sekund?.","W regulatorze najwa?niejsza jest minuta - dlatego centralna wskaz?wka prowadzi odczyt, a godziny i sekundy maj? w?asne subtarcze.","Chronoswiss zbudowa? swoj? rozpoznawalno?? na przeniesieniu koncepcji zegara regulatorowego na zegarek nar?czny. Model CH 1223 zachowuje karbowan? lunet?, cebulkow? koronk? i porz?dek tarczy, kt?ry celowo rozdziela wskazania, aby podkre?li? zegarmistrzowski rodow?d formy.",dost?pny,cena na zapytanie,4,https://www.chrono24.com/chronoswiss/ref-ch1223.htm | https://www.watch-wiki.net/doku.php?id=chronoswiss_regulateur,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
franck-muller-vanguard-seven-days-skeleton,Franck Muller,Vanguard Seven Days Skeleton,Franck Muller Vanguard Seven Days Skeleton,V 45 S6 SQT / wariant do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci po napisie Seven Days i uk?adzie szkieletu,"lata 2010-2020, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","koperta tonneau, szkieletowany mechanizm, pasek gumowo-sk?rzany",awangardowy skeleton,"Franck Muller Vanguard Seven Days Skeleton pokazuje mechanizm jako g??wny element projektu, z czerwonymi akcentami i architektur? tarczy typow? dla linii Vanguard.","W tym zegarku tarcza nie zas?ania mechanizmu, tylko robi z niego scen?.","Franck Muller zbudowa? rozpoznawalno?? na odwa?nych kopertach Cintr?e Curvex i komplikacjach pokazywanych w teatralny spos?b. Vanguard jest bardziej sportow?, wsp??czesn? interpretacj? tej filozofii: du?a koperta tonneau, wyraziste indeksy kierunkowe i szkieletowany kaliber o siedmiodniowej rezerwie chodu tworz? zegarek zdecydowanie pokazowy.",dost?pny,cena na zapytanie,2,https://www.franckmuller.com/vanguard | https://www.chrono24.com/franckmuller/vanguard.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
frederique-constant,Frederique Constant,Manufacture Slimline Moonphase,Frederique Constant Manufacture Slimline Moonphase,FC-705N4S6,rozpoznanie wysokiej pewno?ci na podstawie tarczy i konfiguracji,"do potwierdzenia; znane roczniki ofert: 2015, 2016, 2024","bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, niebieski pasek sk?rzany",smuk?y zegarek garniturowy z faz? ksi??yca,"Frederique Constant FC-705N4S6 oferuje niebiesk? tarcz?, datownik wskaz?wkowy i fazy ksi??yca w smuk?ej kopercie manufacture.","To zegarek, kt?ry wygl?da klasycznie, ale sercem jest manufakturowy kaliber FC-705 z komplikacj? faz ksi??yca.","Slimline Moonphase Manufacture jest przyk?adem strategii Frederique Constant: oferowa? klasyczne komplikacje w przyst?pniejszym, ale nadal eleganckim wydaniu. Referencja FC-705N4S6 wyr??nia si? granatow? tarcz? oraz zintegrowanym wskazaniem daty i fazy ksi??yca na godzinie 6.",dost?pny,cena na zapytanie,3,https://www.chrono24.com/frederiqueconstant/ref-fc705n4s6.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
maurice-lacroix-masterpiece-double-retrograde,Maurice Lacroix,Masterpiece Double R?trograde Phase de Lune,Maurice Lacroix Masterpiece Double R?trograde Phase de Lune,MP7018 / wariant do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci; referencja zale?y od konfiguracji koperty,"lata 2000-2010, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal i z?oto lub pow?oka z?ota, pasek sk?rzany, tarcza z retrogradami",zegarek komplikowany klasyczny,"Maurice Lacroix Masterpiece Double R?trograde ??czy klasyczn? elegancj? z widowiskow? tarcz?: dat? retrograde, rezerw? chodu i faz? ksi??yca.","Retrogrady w Masterpiece dzia?aj? jak ma?y spektakl mechaniki, kt?ry pozostaje czytelny mimo liczby wskaza?.","Kolekcja Masterpiece by?a dla Maurice Lacroix przestrzeni? na bardziej ambitne komplikacje mechaniczne. Double R?trograde Phase de Lune ??czy wskazanie daty po ?uku, rezerw? chodu, dzie? tygodnia i faz? ksi??yca, tworz?c zegarek o charakterze klasycznym, ale technicznie bardziej z?o?onym ni? standardowy trzywskaz?wkowiec.",dost?pny,cena na zapytanie,3,https://www.mauricelacroix.com/ | https://www.chrono24.com/mauricelacroix/masterpiece-double-retrograde.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
omega-czarna-tarcza,Omega,Constellation Manhattan Day-Date Quartz,Omega Constellation Manhattan Day-Date Quartz,396.1070 / 396.1080 - do potwierdzenia,rozpoznanie wysokiej pewno?ci dla wariantu Day-Date; dok?adna ref. wymaga dekla,"oko?o 1980-1990, do potwierdzenia","dobry, widoczne ?lady u?ytkowania na bezelu i kopercie","stal nierdzewna, mo?liwy bezel z elementem z?ota w zale?no?ci od referencji",vintage Manhattan z podw?jnym kalendarzem,Omega Constellation Manhattan Day-Date z czarn? tarcz? wyr??nia si? dwoma subtarczzami kalendarza i smuk?ym kwarcowym profilem.,"W tej konfiguracji Constellation ??czy elegancki profil z funkcjonalnym, niemal instrumentowym uk?adem dnia i daty.","Wersje Day-Date Constellation Manhattan nale?? do najbardziej charakterystycznych odmian tej linii z lat 80. i 90. Kwarcowy kaliber pozwala? zachowa? bardzo smuk?? kopert?, a osobne wskazania dnia tygodnia i daty nada?y tarczy techniczny, kolekcjonerski charakter.",dost?pny,cena na zapytanie,3,https://everywatch.com/omega/constellation-day-date/watch-31606124 | https://www.chrono24.com/omega/constellation--id46062532.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
omega-biala-tarcza,Omega,Constellation Manhattan Quartz Date,Omega Constellation Manhattan Quartz Date,rodzina 396 / 1512 - do potwierdzenia z dekla,rozpoznanie kolekcji wysokiej pewno?ci; dok?adna referencja wymaga dekla,"lata 1990-2000., do potwierdzenia","dobry, widoczne ?lady u?ytkowania na kopercie i bezelu","stal nierdzewna, zintegrowana bransoleta stalowa",klasyczny Constellation Manhattan,Omega Constellation Manhattan z jasn? tarcz? i zintegrowan? bransolet? to elegancki kwarcowy klasyk z charakterystycznymi pazurami koperty.,"Cztery pazury Constellation Manhattan zacz??y jako element konstrukcyjny, a sta?y si? jednym z najbardziej rozpoznawalnych znak?w Omegi.","Constellation Manhattan zadebiutowa? w 1982 roku i zmieni? eleganck? lini? Omegi w zegarek o mocnej, architektonicznej kopercie. Jasna tarcza, rzymski bezel i zintegrowana bransoleta tworz? dyskretny, codzienny wariant tej stylistyki.",dost?pny,cena na zapytanie,3,https://dumarko.com/blogs/news/vintage-omega-constellation-collectors-guide | https://www.catawiki.com/en/l/99692638-omega-constellation-men-1990-1999,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
